date,city,text,attack_type,link
2024-06-12,Kharkiv,Ворог обстріляв житлові квартали з РСЗВ, є руйнування та поранені.,artillery,https://news.site/1
2024-06-12,Odesa,Над містом пролунали вибухи: сили ППО збили 3 дрони-камікадзе.,drone,https://news.site/2
2024-06-13,Kyiv,Оголошено повітряну тривогу. ЗСУ повідомили про ракетний обстріл міста.,missile,https://news.site/3
2024-06-13,Dnipro,В результаті удару по інфраструктурі є загиблі та поранені.,missile,https://news.site/4
2024-06-14,Sumy,Дрони-камікадзе атакували енергетичний об'єкт на околиці міста.,drone,https://news.site/5
2024-06-14,Kherson,Вночі ворог застосував артилерію по центру міста.,artillery,https://news.site/6
2024-06-15,Mykolaiv,Зенітники збили 2 ракети типу 'Калібр', уламки пошкодили будинки.,missile,https://news.site/7
2024-06-15,Poltava,Ворожий безпілотник скинув вибухівку на склад зерна.,drone,https://news.site/8
2024-06-16,Zaporizhzhia,Ракетний удар по промзоні, повідомляється про великі руйнування.,missile,https://news.site/9
2024-06-16,Donetsk,Бої на околицях міста, ворог намагається прорвати лінію оборони.,ground,https://news.site/10
